school,latitude,longitude,score,income,funding,enrollment,white,asian,black,hispanic,other,minority
HEIGHTS H S,29.795384,-95.3935,972,143229,12030.64,2521,0.130503768,0.019040063,0.097976993,0.733835779,0.018643395,0.869496232
SCARBOROUGH H S,29.829579,-95.470993,776,58728,12030.64,725,0.019310345,0.005517241,0.140689655,0.823448276,0.011034483,0.980689655
SHARPSTOWN H S,29.684105,-95.516886,792,47810,12030.64,1803,0.016084304,0.065446478,0.125901276,0.78202995,0.010537992,0.983915696
SHARPSTOWN INTERNATIONAL SCHOOL,29.69885,-95.531716,1006,45716,12030.64,1297,0.01387818,0.077872012,0.047802621,0.856592136,0.00385505,0.98612182
STERLING H S,29.635087,-95.321432,817,56747,12030.64,1341,0.005965697,0.004474273,0.516778523,0.461595824,0.011185682,0.994034303
WALTRIP H S,29.818482,-95.433053,864,127017,12030.64,1659,0.071127185,0.007836046,0.133212779,0.772151899,0.015672092,0.928872815
WASHINGTON B T H S,29.824821,-95.398102,798,127017,12030.64,837,0.017921147,0.001194743,0.46953405,0.495818399,0.015531661,0.982078853
WESTBURY H S,29.649573,-95.481053,843,58686,12030.64,2263,0.022094565,0.015024304,0.266460451,0.685373398,0.011047282,0.977905435
WHEATLEY H S,29.77177,-95.319745,738,50119,12030.64,616,0.001623377,0,0.563311688,0.428571429,0.006493506,0.998376623
WORTHING H S,29.657534,-95.366686,811,37415,12030.64,831,0.015643803,0.002406739,0.672683514,0.291215403,0.018050542,0.984356197
YATES H S,29.724115,-95.35383,765,71199,12030.64,781,0.010243278,0,0.839948784,0.138284251,0.011523688,0.989756722
H S FOR LAW AND JUSTICE,29.738435,-95.347253,980,83980,12030.64,435,0.048275862,0.004597701,0.23908046,0.698850575,0.009195402,0.951724138
EASTWOOD ACADEMY,29.735525,-95.328258,1058,51430,12030.64,383,0.018276762,0.01305483,0.020887728,0.945169713,0.002610966,0.981723238
